,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,label_enc
365,2,5,8,320,150,23.78,1096.28,56.4,16207,cinnamon,2
366,4,5,8,320,150,22.63,1093.22,54.92,15062,cinnamon,2
367,6,5,9,320,150,23.48,1098.85,55.49,30644,cinnamon,2
368,1,5,7,320,150,24.45,1019.45,45.58,33092,cinnamon,2
369,7,6,0,320,150,24.37,1053.67,50.48,35724,cinnamon,2
370,8,5,5,200,150,23.84,1000.62,43.1,111962,cinnamon,2
371,3,5,8,320,150,23.33,1023.73,57.68,29018,cinnamon,2
372,2,5,9,320,150,23.81,1096.28,56.25,18213,cinnamon,2
373,5,5,5,200,150,23.02,1101.4,54.2,133299,cinnamon,2
374,4,5,9,320,150,22.67,1093.22,54.88,16900,cinnamon,2
375,6,6,0,320,150,23.52,1098.85,55.59,32587,cinnamon,2
376,1,5,8,320,150,24.48,1019.45,45.56,36803,cinnamon,2
377,7,6,1,100,150,24.4,1053.67,50.52,1588213,cinnamon,2
378,8,5,6,200,150,23.86,1000.62,43.06,107858,cinnamon,2
