id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
2026_02_18_21_53,16032,4,1724209694,6458216,1771458045,35.144241,992.943481,20.805864,4174267.5,1,1,1,0,0
2026_02_18_21_53,16033,6,1724206621,6458343,1771458045,36.836403,993.340515,18.039087,124543.90625,7,1,2,0,0
2026_02_18_21_53,16034,3,1724221471,6458759,1771458046,35.21183,992.922546,18.442511,425514.21875,4,1,2,0,0
2026_02_18_21_53,16035,1,1724192798,6458850,1771458046,33.36771,992.988403,22.598801,2377939.0,2,1,1,0,0
2026_02_18_21_53,16036,6,1724206621,6459063,1771458046,37.066708,993.344055,17.954021,147338.125,8,1,2,0,0
2026_02_18_21_53,16037,0,1724206365,6459208,1771458046,33.002205,992.767029,23.806377,69301.570312,0,1,1,0,0
2026_02_18_21_53,16038,3,1724221471,6459482,1771458046,35.463966,992.903748,18.421474,362606.21875,5,1,2,0,0
2026_02_18_21_53,16039,2,1724204062,6459487,1771458046,33.964195,993.011597,21.603546,2205114.5,2,1,1,0,0
2026_02_18_21_53,16040,0,1724206365,6459492,1771458046,33.039612,992.827637,23.716719,3664504.5,1,1,1,0,0
2026_02_18_21_53,16041,4,1724209694,6459635,1771458047,35.1717,992.921204,20.173557,3540955.25,2,1,1,0,0
2026_02_18_21_53,16042,6,1724206621,6459766,1771458047,37.195782,993.353882,17.862986,160050.015625,9,1,2,0,0
2026_02_18_21_53,16043,3,1724221471,6460182,1771458047,35.59877,992.938782,18.37281,327784.90625,6,1,2,0,0
2026_02_18_21_53,16044,6,1724206621,6460466,1771458047,37.284359,993.369873,17.816288,166938.375,0,1,3,0,0
2026_02_18_21_53,16045,6,1724206621,6460606,1771458048,36.800972,993.389221,17.643057,18762096.0,1,1,3,0,0
2026_02_18_21_53,16046,3,1724221471,6460882,1771458048,36.095551,992.920532,18.335382,126201.625,7,1,2,0,0
2026_02_18_21_53,16047,0,1724206365,6460891,1771458048,32.992229,992.814758,23.019491,3100681.25,2,1,1,0,0
