,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,temperature_diff,pressure_diff,humidity_diff,gas_resistance_diff,pca_0,pca_1
10133,3,5,4,200,150,-0.004280231200897979,0.00010220077408476076,0.07481311000537368,-0.5665758958417836,grapefruit,3_3_5,-0.1914971030743888,-19.962072062649785,-6.241788255092478,-0.7015194992537471,2.163659812577239,-0.4354778223006238
10233,3,6,4,200,150,-0.0005836678910317161,0.00012152231346396707,0.07371546592035265,-0.5662857400015756,grapefruit,3_3_6,-0.19149710307424517,-19.962072062649785,-8.862649621871633,-0.7005368079062184,0.4784993264809336,-1.3702153590522366
10332,3,7,4,200,150,0.002776844208846769,0.00016982616191198285,0.0719592353843192,-0.5705769921646506,grapefruit,3_3_7,0.21277455897159095,17.965864856341685,-6.89700359678715,-0.7026763800374599,-1.9617468021545212,-1.8426573007153273
2729,3,1,4,200,150,-0.011648788615534006,7.590331841975242e-05,0.06361394938742292,-0.39363802607940535,eucalyptus,1_3_1,-1.848563272381239,-1.0014019627478483,-3.4347129188682692,-0.515316595076991,1.1568275232512406,-0.9918289916005406
3613,3,10,4,200,150,0.022666601181060095,0.00016284711951866968,0.026460011038708337,0.020594341420168943,eucalyptus,1_3_10,0.2727388434659906,-1.0014019627478483,-0.18840197445270684,0.3078171547681065,1.1597070651830264,-0.8559095256286303
3707,3,11,4,200,150,0.024365382854158714,0.00019182838655164208,0.02536078209348016,0.007086764219095867,eucalyptus,1_3_11,0.27273884346614136,-15.021029441217726,-0.7970852765306607,0.27327983429747066,1.6662337590009901,-0.7464320953465288
3807,3,12,4,200,150,0.026403920861877248,0.00019182838655164208,0.024041707359206223,-0.009154155007419576,eucalyptus,1_3_12,0.2727388434659906,-1.0014019627478483,0.8260701956771203,0.3211489911330253,1.8058023776116872,-0.6949431626482441
4101,3,15,4,200,150,0.03116050954655367,0.00024979092061780655,0.021623403679704112,-0.04925565239438912,eucalyptus,1_3_15,0.2727388434659906,-15.021029441217726,-3.434712918868413,0.2078044562949177,1.9763285172201346,-0.5517448321522823
4202,3,16,4,200,150,0.03251953488503261,0.0002594513429621307,0.019644791578293363,-0.061536969988157574,eucalyptus,1_3_16,0.27273884346614136,13.018225515722028,-3.637607352894206,0.17486391865981168,2.1454034639200392,-0.54063042848925
4302,3,17,4,200,150,0.03421831655813135,0.00028843260999510313,0.020524174734475934,-0.0772630473948123,eucalyptus,1_3_17,0.2727388434659906,-1.0014019627478483,-0.39129640847864344,0.16068323878102167,2.3483497115621006,-0.31230726722718216
4398,3,18,4,200,150,0.0355773418966103,0.0002980930323394273,0.020304328945430175,-0.08987199160121939,eucalyptus,1_3_18,0.27273884346614136,13.018225515722028,-0.3912964084787876,0.14874429636839892,-1.6682584067807447,-1.89011705298254
4494,3,19,4,200,150,0.03693636723508924,0.0003367347217167238,0.01854556263306503,-0.10516747403126332,eucalyptus,1_3_19,0.27273884346614136,-1.0014019627478483,0.4202813276252471,0.15375309724988176,2.380920959405741,-0.4633511450946961
2826,3,2,4,200,150,-0.0011163422423220149,7.590331841975242e-05,0.053281197302277344,-0.059880115404242165,eucalyptus,1_3_2,-0.15152157970324429,-1.0014019627478483,4.275275574118763,-0.04561174132479461,2.9312946540177904,-0.3114192025813552
4692,3,21,4,200,150,0.03931466157742745,0.0003753764110940204,0.018325716844019426,-0.13769611628609973,eucalyptus,1_3_21,0.6969992666355269,-1.0014019627478483,0.014492459573229758,0.10950920958815218,2.5446749872751564,-0.3588621334368349
4993,3,24,4,200,150,0.0430519812582446,0.00048164105688180557,0.015028030008334739,-0.15946924488602765,eucalyptus,1_3_24,0.27273884346614136,-15.021029441217726,0.6231757616511837,0.06949185525590645,2.7732335833772055,-0.4240124147244231
5089,3,25,4,200,150,0.04407125026210387,0.0005009619015704539,0.01480818421928898,-0.1708144864436857,eucalyptus,1_3_25,0.6969992666355269,-1.0014019627478483,-1.202874144582678,0.05664373486396575,2.8410973721069746,-0.14135110263312523
5189,3,26,4,200,150,0.04543027560058282,0.0005492640132920745,0.01436849264119777,-0.17679601231443115,eucalyptus,1_3_26,0.27273884346614136,-15.021029441217726,-0.9999797105565974,0.05360308585533141,2.789815261348158,-0.307388419782159
5386,3,28,4,200,150,0.04746881360830123,0.0006072265473580194,0.01436849264119777,-0.18849696276581115,eucalyptus,1_3_28,0.27273884346614136,-1.0014019627478483,2.043436799833028,0.022605734107371808,-0.5400889561812859,-1.4808692352569823
2928,3,3,4,200,150,0.003980002776974203,7.590331841975242e-05,0.04096983311572117,0.054967053466142834,eucalyptus,1_3_3,0.2727388434659906,-1.0014019627478483,-0.7970852765306607,0.19743837098152694,-0.050351327247876665,-1.3301116716796193
5583,3,30,4,200,150,0.04950735161601977,0.0006845099261126125,0.012609726328832626,-0.20466299590943776,eucalyptus,1_3_30,0.6969992666355269,-15.021029441217726,-0.7970852765305166,0.005546684127011061,0.18324469429200685,-1.2298968919680502
